Program,Age/Grade,Program Cost,Other Requirements,Location,Website
Junior Academy,HS students,free,must participate in 1 challenge/year,online,https://www.nyas.org/programs/global-stem-alliance/the-junior-academy/
SHP,HS students,free,"must go to HS in NY, NJ, CT or live within 75 miles of Columbia",Columbia,http://www.columbia.edu/cu/shp/
1000 Girls 1000 Futures,HS students,free,for girls,online,https://www.nyas.org/programs/global-stem-alliance/1000-girls-1000-futures/
SSMV,HS students,free,for students in Metro Nashville Public Schools,Vanderbilt,https://www.vanderbilt.edu/cso/ssmv/about.php
MIT PRIMES,HS students,free,must live within driving distance of Boston,MIT,https://math.mit.edu/research/highschool/primes/program.php
PRIMES-USA,HS juniors,free,must live in the US and live at least 50 miles away from Boston,online,https://math.mit.edu/research/highschool/primes/usa/index.php
PRIMES Circle,HS students,free,"must live within commuting distance of Boston, must be underrepresented in STEM",MIT,https://math.mit.edu/research/highschool/primes/circle/index.php
CrowdMath,HS/college students,free,,online,https://artofproblemsolving.com/polymath/mitprimes
MOSTEC,HS juniors,free,US Citizen/permanent resident,online,https://oeop.mit.edu/programs/mostec
