"Program Overview                                                                                           Details"
"Program                                Apply   Application Fee   Stipend      Grade Level       Immigration Status        Other Eligibility                    Other Notes                  Link   Who should apply?"
"Penn State-- Business Opportunities Summer Session (BOSS)             Link                                 current 11th        GC"
"University of Texas at Austin's McCombs School of Business Programs   Link                                 current 11th        Anyone                Texas high school students"
"Indiana University--- MEET Kelly                                      Link                                 current 11th        Anyone                underrepresented groups"
"TCU Supply Chain Business Technology Camp                             Link                                 current 10th,11th   Anyone                Fort Worth Area"
"Bank of America Student Leaders                                       Link                                 current 11th,12th   GC"
"Indiana University --- Women's Leadership Institute                   Link                                 current 10th,11th   Anyone                                             transportation and housing not included"
""
