Pre-college,,,,,,,,,,,,,,,,,,
Name,Organization,url,Fee,College Credit?,Application deadline,Eligibility,,,,,,,,Requirement ,,,,Area of interest 
,,,,,,Grade(min),Grade(max),Ages (min),Ages (max),Nationality,Region,GPA (min),Please put this information into left columns!!,Letter of recommendation,Essay,Transcript ,,
Brandeis University: Precollege Online Program,Brandeis University,https://www.iit.edu/academics/pre-college-programs?,995,,2021-06-06 00:00:00,9,12,,,,,,grades 9th-12th,,,,,
Case Western Reserve University Pre-college Program,Case Western Reserve University,https://case.precollegeprograms.org/,995,,2021-06-06 00:00:00,9,12,13,,,,,grades 9th-12th; ages 13 and older,,,,,
Rutgers Summer Dance Programs,Rutgers,https://em.rutgers.edu/ncp/search/ProgramDetails.aspx?id=431&src=browse,395,,2021-06-08 00:00:00,,,13,18,,,,ages 13-18,,,,Live Audition: April 10; 2021 12:00-1:30pm,
Nyu School of Professional Studies: High School Academy Career Edge,new york university,https://www.sps.nyu.edu/high-school-academy/programs/career-edge.html,1495,,2021-06-11 00:00:00,,,,,,,,,,Y,Y,essay; transcript; and more,
Oregon State University: Jumpstart Online!,Oregon State University,https://liberalarts.oregonstate.edu/school-arts-and-communication/sac-academy/summer-programs?utm_source=teenlife,300,,2021-06-14 00:00:00,,,8,12,,,,grades 8th-12th,,,,,
Umass Amherst Summer Pre-college,University of Massachusetts Amherst,https://www.umass.edu/uww/programs/pre-college/summer,3680,,2021-06-15 00:00:00,10,12,,,,,,grades 10th-12th,Y,Y,Y,written statement; transcript; recommendation,
Yale Summer Session,yale university,https://summer.yale.edu/apply/pre-college-students,2250,,2021-06-18 00:00:00,,,16,,,,,ages 16 or older,Y,,,Two Letters of Recommendation,
Adelphi University Summer Pre-college Programs,Adelphi University,http://precollege.adelphi.edu,1250,,2021-06-19 00:00:00,,,,,,,,,,,,,
California State at Northridge: Summer Academic Enrichment Program (Saep),California State University; Northridge,https://www.csun.edu/eisner-education/summer-academic-enrichment-program?utm_source=teenlife,225,,2021-06-21 00:00:00,6,12,,,,,,grades 6th-12th,,,,,
Cornell Precollege Studies,Cornell university,https://sce.cornell.edu/precollege,4000,,2021-06-28 00:00:00,10,12,,,,,,grades 10th-12th,,,Y,TOEFL or IELTS (international students); transcript; grade report,
Montclair State University: Early College Program,Montclair state university,https://www.montclair.edu/early-college-program/how-to-apply/,855,,2021-06-28 00:00:00,,,,,,,,,Y,,Y,transcript; letter of recommendation; and more,
Quantum Summer School With Ibm Quantum,Qubit by Qubit,https://www.qubitbyqubit.org/summer-school,1190,,2021-07-01 00:00:00,9,,,,,,,grades 9th - 12th and early college students,,,,,
